image,gt,yolo_det,ensemble_masks,vetoed,yolo_tp,yolo_fp,yolo_fn,ensemble_tp,ensemble_fp,ensemble_fn
010007.jpg,4,3,2,1,3,0,1,2,0,2
010010.jpg,7,6,6,0,4,2,3,4,2,3
010019.jpg,5,4,4,0,4,0,1,4,0,1
010028.jpg,3,2,1,1,2,0,1,1,0,2
010036.jpg,5,4,2,2,4,0,1,2,0,3
010043.jpg,4,4,4,0,2,2,2,2,2,2
010044.jpg,8,9,9,0,7,2,1,7,2,1
010047.jpg,4,3,3,0,3,0,1,3,0,1
010054.jpg,2,2,1,1,2,0,0,1,0,1
010059.jpg,5,4,4,0,3,1,2,3,1,2
010091.jpg,2,2,2,0,2,0,0,2,0,0
010097.jpg,2,2,2,0,1,1,1,1,1,1
010101.jpg,2,1,1,0,1,0,1,1,0,1
010107.jpg,4,2,1,1,2,0,2,1,0,3
010118.jpg,5,5,5,0,3,2,2,3,2,2
010126.jpg,4,3,3,0,3,0,1,3,0,1
010127.jpg,3,2,2,0,2,0,1,2,0,1
010129.jpg,4,3,2,1,3,0,1,2,0,2
010133.jpg,7,5,5,0,4,1,3,4,1,3
010153.jpg,4,3,2,1,2,1,2,2,0,2
010154.jpg,5,3,3,0,3,0,2,3,0,2
010159.jpg,3,3,3,0,3,0,0,3,0,0
010167.jpg,4,4,3,1,3,1,1,3,0,1
010189.jpg,2,2,2,0,2,0,0,2,0,0
010201.jpg,3,3,3,0,3,0,0,3,0,0
010208.jpg,5,5,5,0,5,0,0,5,0,0
010225.jpg,2,2,2,0,2,0,0,2,0,0
010229.jpg,5,4,4,0,3,1,2,3,1,2
010232.jpg,4,4,4,0,2,2,2,2,2,2
010242.jpg,3,3,3,0,3,0,0,3,0,0
010244.jpg,4,3,3,0,3,0,1,3,0,1
010252.jpg,5,4,4,0,4,0,1,4,0,1
010260.jpg,6,3,3,0,2,1,4,2,1,4
010284.jpg,2,3,3,0,2,1,0,2,1,0
010300.jpg,1,1,1,0,1,0,0,1,0,0
010309.jpg,6,7,7,0,6,1,0,6,1,0
010319.jpg,4,3,3,0,3,0,1,3,0,1
010321.jpg,3,3,3,0,3,0,0,3,0,0
010322.jpg,6,5,5,0,5,0,1,5,0,1
010335.jpg,2,2,2,0,2,0,0,2,0,0
010341.jpg,2,2,2,0,2,0,0,2,0,0
010343.jpg,4,6,6,0,4,2,0,4,2,0
010346.jpg,5,4,4,0,3,1,2,3,1,2
010351.jpg,8,7,7,0,7,0,1,7,0,1
010361.jpg,6,5,5,0,4,1,2,4,1,2
010389.jpg,4,3,3,0,3,0,1,3,0,1
010402.jpg,6,4,4,0,2,2,4,2,2,4
010408.jpg,2,2,2,0,2,0,0,2,0,0
010411.jpg,2,2,1,1,2,0,0,1,0,1
010412.jpg,3,3,3,0,3,0,0,3,0,0
010422.jpg,2,2,2,0,1,1,1,1,1,1
010424.jpg,7,5,5,0,5,0,2,5,0,2
010425.jpg,5,6,6,0,5,1,0,5,1,0
010432.jpg,3,3,3,0,3,0,0,3,0,0
010436.jpg,3,2,1,1,2,0,1,1,0,2
010443.jpg,4,2,2,0,1,1,3,1,1,3
010446.jpg,5,3,2,1,2,1,3,2,0,3
010454.jpg,8,7,7,0,7,0,1,7,0,1
010472.jpg,5,5,5,0,5,0,0,5,0,0
010474.jpg,7,3,3,0,3,0,4,3,0,4
010476.jpg,9,9,8,1,7,2,2,7,1,2
010477.jpg,4,4,3,1,4,0,0,3,0,1
010490.jpg,8,5,5,0,4,1,4,4,1,4
010504.jpg,4,3,3,0,3,0,1,3,0,1
010510.jpg,7,6,6,0,5,1,2,5,1,2
010512.jpg,7,7,6,1,7,0,0,6,0,1
010516.jpg,4,3,2,1,3,0,1,2,0,2
010522.jpg,5,5,3,2,4,1,1,3,0,2
010527.jpg,1,1,1,0,1,0,0,1,0,0
010536.jpg,4,4,4,0,4,0,0,4,0,0
010538.jpg,6,6,6,0,4,2,2,4,2,2
010548.jpg,5,4,4,0,4,0,1,4,0,1
010590.jpg,8,6,6,0,5,1,3,5,1,3
010592.jpg,10,9,7,2,6,3,4,6,1,4
020005.jpg,2,2,2,0,2,0,0,2,0,0
020010.jpg,2,0,0,0,0,0,2,0,0,2
020013.jpg,3,3,3,0,2,1,1,2,1,1
020020.jpg,5,6,6,0,4,2,1,4,2,1
020022.jpg,2,1,1,0,1,0,1,1,0,1
020030.jpg,5,4,4,0,4,0,1,4,0,1
020038.jpg,1,1,1,0,1,0,0,1,0,0
020045.jpg,4,5,5,0,4,1,0,4,1,0
020049.jpg,4,4,4,0,2,2,2,2,2,2
020055.jpg,4,4,4,0,4,0,0,4,0,0
020057.jpg,2,1,1,0,1,0,1,1,0,1
020063.jpg,2,1,1,0,1,0,1,1,0,1
020076.jpg,2,2,2,0,2,0,0,2,0,0
020089.jpg,3,3,3,0,3,0,0,3,0,0
020097.jpg,1,1,1,0,1,0,0,1,0,0
020114.jpg,1,1,1,0,1,0,0,1,0,0
020115.jpg,3,3,3,0,3,0,0,3,0,0
020119.jpg,4,5,5,0,3,2,1,3,2,1
020126.jpg,1,1,1,0,0,1,1,0,1,1
020131.jpg,3,3,3,0,3,0,0,3,0,0
020146.jpg,1,0,0,0,0,0,1,0,0,1
020148.jpg,2,1,1,0,1,0,1,1,0,1
020149.jpg,3,3,3,0,3,0,0,3,0,0
020154.jpg,2,2,2,0,2,0,0,2,0,0
020157.jpg,3,3,3,0,3,0,0,3,0,0
020161.jpg,3,2,2,0,2,0,1,2,0,1
020175.jpg,2,2,2,0,2,0,0,2,0,0
020207.jpg,4,4,4,0,4,0,0,4,0,0
020219.jpg,2,1,1,0,1,0,1,1,0,1
020225.jpg,1,1,1,0,1,0,0,1,0,0
020226.jpg,2,2,2,0,2,0,0,2,0,0
020227.jpg,2,2,2,0,2,0,0,2,0,0
020232.jpg,6,6,6,0,6,0,0,6,0,0
020236.jpg,7,5,5,0,5,0,2,5,0,2
020245.jpg,1,1,1,0,1,0,0,1,0,0
020246.jpg,1,1,1,0,1,0,0,1,0,0
020249.jpg,1,1,1,0,1,0,0,1,0,0
020257.jpg,3,2,2,0,1,1,2,1,1,2
020261.jpg,3,3,3,0,3,0,0,3,0,0
020262.jpg,2,2,2,0,1,1,1,1,1,1
020265.jpg,1,1,1,0,1,0,0,1,0,0
020282.jpg,4,4,3,1,4,0,0,3,0,1
020291.jpg,2,1,1,0,1,0,1,1,0,1
020292.jpg,1,1,1,0,1,0,0,1,0,0
020297.jpg,2,2,2,0,2,0,0,2,0,0
020301.jpg,4,4,4,0,4,0,0,4,0,0
020320.jpg,1,1,1,0,0,1,1,0,1,1
020323.jpg,3,2,2,0,2,0,1,2,0,1
020324.jpg,2,2,2,0,1,1,1,1,1,1
020335.jpg,2,2,2,0,2,0,0,2,0,0
020336.jpg,7,5,5,0,5,0,2,5,0,2
020340.jpg,2,2,2,0,2,0,0,2,0,0
020353.jpg,1,1,1,0,1,0,0,1,0,0
020362.jpg,1,1,1,0,1,0,0,1,0,0
020364.jpg,8,9,7,2,5,4,3,5,2,3
020368.jpg,2,2,2,0,2,0,0,2,0,0
020381.jpg,1,1,1,0,1,0,0,1,0,0
020386.jpg,1,1,1,0,1,0,0,1,0,0
020390.jpg,3,2,2,0,2,0,1,2,0,1
020396.jpg,4,3,3,0,3,0,1,3,0,1
