epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.358,2.07676,3.35849,1.90517,0.7,0.00138,0.00389,0.00142,2.15467,2.3595,1.89536,0.000666145,0.000666145,0.000666145
2,594.488,1.90598,2.44453,1.77515,0.18033,0.00653,0.0009,0.00037,2.12619,2.30491,1.93706,0.00130642,0.00130642,0.00130642
3,890.057,1.84059,2.29758,1.73394,0.44831,0.16037,0.08712,0.03107,2.09181,1.98605,1.98281,0.0019203,0.0019203,0.0019203
4,289.257,1.78244,2.11142,1.67352,0.77303,0.2721,0.24088,0.08388,1.96171,1.72469,1.76356,0.0018812,0.0018812,0.0018812
5,584.116,1.72239,1.89502,1.62645,0.73223,0.44611,0.36998,0.13205,1.93396,1.65579,1.75859,0.0018416,0.0018416,0.0018416
6,879.619,1.69269,1.78591,1.59105,0.82734,0.58651,0.52676,0.21401,1.9046,1.40588,1.76492,0.001802,0.001802,0.001802
7,1175.48,1.67809,1.68999,1.56521,0.76413,0.60154,0.53388,0.20103,1.95383,1.42561,1.763,0.0017624,0.0017624,0.0017624
8,1471.54,1.65217,1.62239,1.5478,0.85831,0.68282,0.63536,0.24674,1.89962,1.2472,1.67504,0.0017228,0.0017228,0.0017228
9,1767.69,1.6317,1.53973,1.52277,0.8407,0.66581,0.62031,0.25586,1.91337,1.23544,1.73908,0.0016832,0.0016832,0.0016832
10,2063.62,1.61207,1.47769,1.50509,0.79635,0.71683,0.65913,0.25847,1.8606,1.23846,1.67083,0.0016436,0.0016436,0.0016436
11,2360.04,1.58436,1.44498,1.49209,0.88009,0.77358,0.742,0.32363,1.79898,1.10676,1.70582,0.001604,0.001604,0.001604
12,2656.59,1.57825,1.39774,1.48162,0.81885,0.72672,0.68051,0.26916,1.92288,1.19384,1.77478,0.0015644,0.0015644,0.0015644
13,2952.9,1.56778,1.37009,1.47194,0.88427,0.77813,0.74054,0.30211,1.80377,1.11998,1.68176,0.0015248,0.0015248,0.0015248
14,3249.07,1.55582,1.33814,1.4666,0.8896,0.79355,0.76709,0.31865,1.80618,1.10776,1.70831,0.0014852,0.0014852,0.0014852
15,3545.38,1.54482,1.3153,1.46143,0.86225,0.79098,0.76162,0.32425,1.83252,1.07233,1.66744,0.0014456,0.0014456,0.0014456
16,3842.14,1.53109,1.27656,1.45591,0.88514,0.82895,0.79382,0.34274,1.77486,1.00049,1.66261,0.001406,0.001406,0.001406
17,4138.47,1.52368,1.25936,1.45282,0.86896,0.81036,0.78557,0.3335,1.81269,1.03337,1.6943,0.0013664,0.0013664,0.0013664
18,4434.46,1.5076,1.23407,1.4398,0.90356,0.81886,0.78213,0.35497,1.72272,0.99806,1.68054,0.0013268,0.0013268,0.0013268
19,4730.39,1.49607,1.20666,1.43083,0.8914,0.83429,0.8097,0.35676,1.78393,0.94666,1.68429,0.0012872,0.0012872,0.0012872
20,5026.98,1.49027,1.18892,1.43019,0.91355,0.85466,0.83114,0.37465,1.74264,0.89463,1.66107,0.0012476,0.0012476,0.0012476
21,5323.66,1.48026,1.16806,1.41802,0.91188,0.84517,0.82139,0.36884,1.72775,0.92828,1.65057,0.001208,0.001208,0.001208
22,5619.73,1.46596,1.14,1.40521,0.89699,0.83686,0.80854,0.36053,1.74126,0.92843,1.65162,0.0011684,0.0011684,0.0011684
23,5915.8,1.46271,1.1326,1.40827,0.91369,0.85624,0.8282,0.38323,1.69204,0.90268,1.6366,0.0011288,0.0011288,0.0011288
24,6212.08,1.44864,1.10384,1.39529,0.89994,0.85011,0.82385,0.35512,1.74821,0.91558,1.6861,0.0010892,0.0010892,0.0010892
25,6508.47,1.44111,1.09236,1.39111,0.90856,0.86257,0.8365,0.35092,1.7478,0.85508,1.68096,0.0010496,0.0010496,0.0010496
26,6804.61,1.44028,1.08444,1.40582,0.9063,0.85881,0.82613,0.35823,1.74444,0.85462,1.69597,0.00101,0.00101,0.00101
27,7100.46,1.42719,1.06842,1.39532,0.91375,0.87364,0.85501,0.40133,1.69282,0.81119,1.69195,0.0009704,0.0009704,0.0009704
28,7396.68,1.41992,1.04784,1.3888,0.91213,0.86435,0.85294,0.37414,1.74454,0.83233,1.67975,0.0009308,0.0009308,0.0009308
29,7693.23,1.41252,1.04201,1.37923,0.91361,0.85861,0.84207,0.40118,1.70215,0.80734,1.66387,0.0008912,0.0008912,0.0008912
30,293.188,1.40307,1.03383,1.37604,0.91078,0.87008,0.85271,0.38699,1.7157,0.82059,1.68556,0.0008516,0.0008516,0.0008516
31,688.123,1.39094,1.00435,1.3632,0.9127,0.87041,0.85531,0.38947,1.73279,0.81352,1.69459,0.000812,0.000812,0.000812
32,984.776,1.38618,1.00595,1.37099,0.9177,0.87542,0.85847,0.40374,1.71679,0.78302,1.71645,0.0007724,0.0007724,0.0007724
33,1281.6,1.38561,0.99646,1.36831,0.90698,0.87918,0.85334,0.40158,1.70428,0.78717,1.69043,0.0007328,0.0007328,0.0007328
34,1578.37,1.37966,0.98381,1.35956,0.92447,0.8713,0.86697,0.41469,1.69154,0.76633,1.65012,0.0006932,0.0006932,0.0006932
35,1875.04,1.37141,0.9681,1.35824,0.92043,0.87384,0.86833,0.41514,1.70222,0.76056,1.68237,0.0006536,0.0006536,0.0006536
36,2171.65,1.35634,0.93867,1.34576,0.91492,0.88254,0.86819,0.42287,1.68722,0.74281,1.68724,0.000614,0.000614,0.000614
37,2468.56,1.3518,0.94473,1.34592,0.91891,0.88511,0.86881,0.42357,1.68151,0.75709,1.65329,0.0005744,0.0005744,0.0005744
38,2765.07,1.3396,0.91837,1.3413,0.91048,0.88293,0.86776,0.41648,1.67525,0.73517,1.67096,0.0005348,0.0005348,0.0005348
39,3061.64,1.33594,0.9099,1.34035,0.92729,0.87878,0.86856,0.41918,1.66849,0.71969,1.70657,0.0004952,0.0004952,0.0004952
40,3358.05,1.32064,0.89631,1.3272,0.92672,0.87898,0.86878,0.42527,1.66783,0.71977,1.68435,0.0004556,0.0004556,0.0004556
41,3654.31,1.30833,0.77258,1.31795,0.90965,0.88392,0.86558,0.42051,1.70154,0.72522,1.73292,0.000416,0.000416,0.000416
42,3949.82,1.29378,0.72602,1.3137,0.92088,0.88154,0.86797,0.42144,1.70918,0.69734,1.72525,0.0003764,0.0003764,0.0003764
43,4245.7,1.28015,0.71597,1.30044,0.92566,0.88274,0.86847,0.42818,1.67797,0.69171,1.71284,0.0003368,0.0003368,0.0003368
44,4540.94,1.26604,0.69864,1.29833,0.92706,0.87977,0.86859,0.42676,1.68139,0.69703,1.72443,0.0002972,0.0002972,0.0002972
45,4836.35,1.25963,0.67746,1.28675,0.92329,0.88551,0.87011,0.43694,1.66712,0.68054,1.71666,0.0002576,0.0002576,0.0002576
46,5131.73,1.24296,0.667,1.28415,0.91945,0.89164,0.87958,0.44008,1.66558,0.67516,1.71733,0.000218,0.000218,0.000218
47,5427.03,1.2353,0.65876,1.27919,0.92732,0.88564,0.87948,0.43654,1.68483,0.67557,1.7249,0.0001784,0.0001784,0.0001784
48,5722,1.22895,0.65445,1.27687,0.91839,0.8901,0.87974,0.4375,1.66965,0.67563,1.7211,0.0001388,0.0001388,0.0001388
49,6017.21,1.21543,0.64149,1.27115,0.92777,0.88808,0.8806,0.44524,1.6592,0.6656,1.73125,9.92e-05,9.92e-05,9.92e-05
50,6312.39,1.2115,0.63785,1.26953,0.92862,0.88748,0.88026,0.44149,1.66958,0.66474,1.73568,5.96e-05,5.96e-05,5.96e-05
